variable,question,description,type,values
consent,I am 18+ and consent to take part. I understand anonymised data will be published openly.,Consent to participate and allow anonymised data to be published.,categorical,Allowed values: yes (stored as 'yes'; original raw label: 'Yes').
ai_tool_use_frequency,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life?",Frequency of using AI-powered or digital tools in daily life.,categorical,"Allowed values (stored as snake_case): never, rarely, sometimes, occasionally, often, very_often, everyday."
hours_online_per_day,"On average, how many hours do you spend online each day? (self-estimate)",Estimated number of hours spent online per day.,numeric,"Allowed values (stored as snake_case categories): lt_2_hours, 2_4_hours, 5_6_hours, 7_8_hours, 9_10_hours, 11_12_hours, gt_12_hours."
ai_primary_use_cases,What do you use AI for most often? (Select all that apply),Primary use cases of AI tools (multi-select).,multi_select,"Multi-select; stored as semicolon-separated snake_case tokens: academic_validity, asked_by_teacher, coding_scripting, creative_projects, customer_service_interaction, decision_making, emotional_support, entertainment, information_research, learning_studying, life_advice, life_decisions, none, text_summarising_formatting, translating, work_tasks, writing_messages, writing_tasks. Note: raw tokens 'Information or research' and 'research' were both normalised to 'information_research'."
ai_confidence,"In general, how confident do you feel using AI tools?",Self-rated confidence using AI tools.,numeric,Scale 1-7 1 = Not confident at all ; 7 = Extremely confident
ai_health_advice_risk,AI providing health or wellbeing advice.,Perceived risk associated with AI giving health or wellbeing advice.,numeric,Scale 1-7 1 = Not risky at all ; 4 = Neutral ; 7 = Extremely risky
ai_finance_recommendations_risk,AI making recommendations about money or finance.,Perceived risk of AI giving financial recommendations.,numeric,Scale 1-7 1 = Not risky at all ; 4 = Neutral ; 7 = Extremely risky
ai_work_influence_risk,AI influencing work-related decisions.,Perceived risk associated with AI influencing work decisions.,numeric,Scale 1-7 1 = Not risky at all ; 4 = Neutral ; 7 = Extremely risky
ai_interacting_with_children_risk,AI interacting with children or young people.,Perceived risk associated with AI interacting with children.,numeric,Scale 1-7 1 = Not risky at all ; 4 = Neutral ; 7 = Extremely risky
ai_inaccurate_info_risk,AI generating information that might be inaccurate.,Perceived risk of AI generating inaccurate information.,numeric,Scale 1-7 1 = Not risky at all ; 4 = Neutral ; 7 = Extremely risky
ai_data_based_opinions_risk,AI forming opinions about someone based on personal data.,Perceived risk of AI forming opinions using personal data.,numeric,Scale 1-7 1 = Not risky at all ; 4 = Neutral ; 7 = Extremely risky
ai_independent_small_actions_risk,An AI tool taking small actions independently (e.g. drafting content without asking).,Perceived risk of autonomous AI actions.,numeric,Scale 1-7 1 = Very uncomfortable ; 4 = Neutral ; 7 = Very comfortable
ai_decisions_without_approval_risk,An AI tool making decisions for you when you haven't given explicit approval.,Perceived risk of AI making decisions without approval.,numeric,Scale 1-7 1 = Very uncomfortable ; 4 = Neutral ; 7 = Very comfortable
ai_memory_usage_risk,An AI tool remembering past conversations and using them to guide new ones.,Perceived risk associated with AI using conversational memory.,numeric,Scale 1-7 1 = Very uncomfortable ; 4 = Neutral ; 7 = Very comfortable
ai_unexpected_actions_risk,An AI tool suggesting actions you did not expect or ask for.,Perceived risk from unexpected AI suggestions.,numeric,Scale 1-7 1 = Very uncomfortable ; 4 = Neutral ; 7 = Very comfortable
ai_inconsistent_responses_unease,I feel uneasy when an AI tool responds inconsistently to the same question.,Unease caused by inconsistent AI responses.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_tone_changes_reliability_concern,Sudden changes in tone or behaviour from AI make me question its reliability.,Concern about AI reliability due to tone/behaviour shifts.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_prefer_predictability,"I prefer AI tools that behave predictably, even if they are less powerful.",Preference for predictability in AI behaviour.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_emotional_tone_risk,AI talking in a highly emotional or personal way.,Comfort level with emotionally expressive AI behaviour.,numeric,Scale 1-7 1 = Very uncomfortable ; 4 = Neutral ; 7 = Very comfortable
ai_personalisation_risk,AI using personal details to tailor responses.,Comfort level with AI personalisation.,numeric,Scale 1-7 1 = Very uncomfortable ; 4 = Neutral ; 7 = Very comfortable
ai_strong_opinions_risk,AI giving strong opinions about sensitive topics.,Comfort level with AI expressing strong opinions.,numeric,Scale 1-7 1 = Very uncomfortable ; 4 = Neutral ; 7 = Very comfortable
ai_overconfidence_risk,AI becoming overly confident in its answers.,Comfort level with overconfident AI behaviour.,numeric,Scale 1-7 1 = Very uncomfortable ; 4 = Neutral ; 7 = Very comfortable
ai_overlook_risks_for_convenience,I sometimes overlook potential risks because AI tools make my tasks easier.,Tendency to overlook risks due to AI convenience.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_convenience_tradeoff_acceptance,The convenience of AI is worth accepting some level of uncertainty.,Willingness to accept uncertainty in exchange for AI convenience.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_guidance_stressful_moment_risk,"An AI tool offering guidance during a stressful moment (e.g., conflict, crisis, decision pressure).",Comfort level with AI guidance during stressful moments.,numeric,Scale 1-7 1 = Not comfortable at all ; 4 = Neutral ; 7 = Very comfortable
ai_proactive_risk_warning_risk,An AI tool proactively warning you about potential risks in your behaviour.,Comfort level with AI issuing proactive warnings.,numeric,Scale 1-7 1 = Not comfortable at all ; 4 = Neutral ; 7 = Very comfortable
ai_predicting_future_choices_risk,An AI tool predicting your future choices based on past interactions.,Comfort level with AI predicting future behaviour.,numeric,Scale 1-7 1 = Not comfortable at all ; 4 = Neutral ; 7 = Very comfortable
expect_ai_to_become_safer,I expect AI systems to become safer over time.,Expectation that AI will improve in safety.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
future_ai_concern,I am more concerned about future AI than the AI we have today.,Concern level about future AI development.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
double_check_ai_info,I double-check AI information with other sources.,Frequency of verifying AI-generated information.,numeric,Scale 1-7 1 = Never ; 4 = Sometimes ; 7 = Always
avoid_topics_with_ai,I avoid certain questions or topics with AI because I'm unsure how it will respond.,Frequency of avoiding topics with AI.,numeric,Scale 1-7 1 = Never ; 4 = Sometimes ; 7 = Always
reduce_ai_use_unpredictable,I reduce how much I use AI when it feels unpredictable or confusing.,Frequency of reducing AI use when unpredictable.,numeric,Scale 1-7 1 = Never ; 4 = Sometimes ; 7 = Always
ai_safety_open_comment,Is there anything else you want to share about how you feel regarding AI safety or risk? (Optional),Open-ended feedback about AI safety or perceived risk.,text,"Open-text responses describing participants' thoughts or concerns about AI safety. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
trust_ai_to_act_in_best_interests,How much do you trust AI systems to act in your best interests?,Level of trust in AI acting in usersâ€™ best interests.,numeric,Scale 1-7 1 = Not at all ; 7 = Completely
what_matters_most,How clear do you feel about what matters most in your life right now?,Self-rated clarity about personal values and priorities.,numeric,Scale 1-7 1 = Not clear at all ; 7 = Extremely clear
digital_life_effect_on_focus,"How much does modern digital life affect your ability to focus, decide, or think clearly?",Impact of digital life on cognitive clarity.,numeric,Scale 1-7 1 = Not at all ; 7 = Very strongly
feelings_about_ai_in_decision_making,How do you feel about the growing role of AI in everyday decision-making?,Emotional evaluation of AI's role in everyday decisions.,numeric,Scale 1-7 1 = Very negative ; 7 = Very positive
ai_values_multi,Which values do you believe AI systems should reflect? (select up 3),Values participants believe AI systems should reflect (multi-select).,multi_select,"Multi-select; stored as semicolon-separated snake_case tokens: honesty, empathy, fairness, respect, responsibility, human_wellbeing, non_harm, transparency, accountability."
age_group,What is your age group?,Participant age group.,categorical,"Allowed values: 18_24, 25_34, 35_44, 45_54, 55_65, over_65."
gender,Which of the following best describes your gender?,Participant gender identity.,categorical,"Allowed values: man, woman, non_binary, prefer_not_to_say."
country,Country of residence.,Participant country of residence.,categorical,"Allowed values (ISO-like codes): au, ca, ie, nz, uk, us."
education_level,What is your highest level of education?,Highest level of education completed.,categorical,"Allowed values: less_than_high_school, high_school, some_university_college, bachelors_degree, postgraduate_degree, other."
work_status,Which of the following best describes your current work status?,Participant employment or occupational status.,categorical,"Allowed values: student, employed_full_time, employed_part_time, self_employed, not_currently_working, other."
emotional_wellbeing,How would you describe your general emotional wellbeing?,Self-rated emotional wellbeing.,numeric,Scale 1-7 1 = Very poor ; 7 = Excellent
ai_values_multi_other,Other values participants believe AI systems should reflect.,Free-text entries supplied under the 'Other' option.,string,Open-text responses not matching predefined multi-select values.
